test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,64,8388608,1,1,0,0,0,0,0,0,0.501988,0.000000,0,61.335708
ofs,0,0,0,1,64,8388608,1,1,1,0.000009,0.000000,2.314799,672259392.000000,10504052.000000,0,0,1.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,2,0.000001,0.000000,2.038405,672255792.000000,10503994.000000,0,0,2.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,4,0.000001,0.000000,2.266949,672257712.000000,10504022.000000,0,0,4.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,8,0.000001,0.000000,2.024960,672286992.000000,10504476.000000,0,0,8.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,16,0.000002,0.000000,2.142520,672266832.000000,10504153.000000,0,0,16.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,32,0.000003,0.000000,2.463778,672274032.000000,10504249.000000,0,0,32.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,64,0.000003,0.000000,2.349832,672308592.000000,10504757.000000,0,0,64.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,128,0.000005,0.000000,2.453678,672281952.000000,10504277.000000,0,0,128.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,256,0.000010,0.000000,2.410404,672282192.000000,10504153.000000,0,0,256.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,512,0.000025,0.000000,2.500791,672284832.000000,10503938.000000,0,0,512.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,1024,0.000033,0.000000,2.488857,672295632.000000,10503595.000000,0,0,1024.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,2048,0.000099,0.000000,2.467296,672283152.000000,10502376.000000,0,0,2048.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,4096,0.000210,0.000000,2.379508,672280752.000000,10500290.000000,0,0,4096.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,8192,0.000413,0.000000,2.234214,672304752.000000,10496569.000000,0,0,8192.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,16384,0.000866,0.000000,2.458201,672278112.000000,10487961.000000,0,0,16384.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,32768,0.001739,0.000000,2.426440,672286752.000000,10471712.000000,0,0,32768.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,65536,0.003495,0.000000,2.483655,672304752.000000,10439225.000000,0,0,65536.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,131072,0.006988,0.000000,2.557148,672285312.000000,10373386.000000,0,0,131072.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,262144,0.013412,0.000000,2.455492,672312192.000000,10242734.000000,0,0,262144.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,524288,0.028170,0.000000,2.505484,672299472.000000,9980391.000000,0,0,524288.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,1048576,0.058531,0.000000,2.493294,672313872.000000,9456328.000000,0,0,1048576.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,2097152,0.117902,0.000000,2.347359,672307152.000000,8407647.000000,0,0,2097152.000000,61.335708
ofs,0,0,0,1,64,8388608,1,1,4194304,0.233271,0.000000,2.518984,672300912.000000,6310397.000000,0,0,4194304.000000,61.335708
