test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,128,8388608,3,128,16384,33.559307,759018880.000000,59.430234,1474292480.000000,11501526.000000,0,0,16384.000000,2044.293661
ofs,0,0,0,1,128,8388608,3,128,32768,2.383390,572869360.000000,6.950444,1144175840.000000,8906105.000000,0,0,32768.000000,2044.293661
ofs,0,0,0,1,128,8388608,3,128,65536,4.151824,1144211600.000000,8.071894,2286767200.000000,17799832.000000,0,0,65536.000000,2044.293661
ofs,0,0,0,1,128,8388608,3,128,131072,8.424537,2286875920.000000,15.673255,4571901200.000000,35586906.000000,0,0,131072.000000,2044.293661
ofs,0,0,0,1,128,8388608,3,128,262144,15.978825,4572131120.000000,31.575429,9142294240.000000,71162029.000000,0,0,262144.000000,2044.293661
ofs,0,0,0,1,128,8388608,3,128,524288,32.698172,9142676560.000000,66.466980,18283063280.000000,142312143.000000,0,0,524288.000000,2044.293661
ofs,0,0,0,1,128,8388608,3,128,1048576,68.379071,18283828880.000000,134.875212,36564528400.000000,284611802.000000,0,0,1048576.000000,2044.293661
ofs,0,0,0,1,128,8388608,3,128,2097152,127.317785,36566102080.000000,251.849321,73127457200.000000,569211107.000000,0,0,2097152.000000,2044.293661
ofs,0,0,0,1,128,8388608,3,128,4194304,261.107448,73130782400.000000,507.418370,146253142960.000000,1138408375.000000,0,0,4194304.000000,2044.293661
ofs,0,0,0,1,128,8388608,3,16,0,0,0,0,0,0,299.041597,22274878080.000000,0,627.001189
ofs,0,0,0,1,128,8388608,3,16,1,0.404988,6368240.000000,0.748135,13099120.000000,102335.000000,0,0,1.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,2,0.516875,7197920.000000,0.723114,13068400.000000,102094.000000,0,0,2.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,4,0.542855,7329440.000000,0.965809,13054240.000000,101982.000000,0,0,4.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,8,0.515992,7371920.000000,0.705792,13076800.000000,102154.000000,0,0,8.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,16,0.510156,7382240.000000,0.705100,13057600.000000,101996.000000,0,0,16.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,32,0.543144,7466000.000000,0.681854,13084960.000000,102194.000000,0,0,32.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,64,0.545782,7424240.000000,0.674400,13066720.000000,102019.000000,0,0,64.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,128,0.777116,7423280.000000,0.683705,13093360.000000,102163.000000,0,0,128.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,256,0.809032,13342240.000000,1.300096,24629360.000000,192160.000000,0,0,256.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,512,1.271805,25142000.000000,2.052526,47580880.000000,371213.000000,0,0,512.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,1024,2.295426,48827680.000000,4.232606,93594560.000000,730183.000000,0,0,1024.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,2048,4.302682,96146960.000000,7.847933,185515360.000000,1447290.000000,0,0,2048.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,4096,2.465850,572841280.000000,3.975727,1144176800.000000,8934785.000000,0,0,4096.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,8192,1.940249,572892160.000000,4.301265,1144142480.000000,8930421.000000,0,0,8192.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,16384,2.078679,572867200.000000,3.675751,1144172960.000000,8922467.000000,0,0,16384.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,32768,1.994501,572884000.000000,3.767289,1144194080.000000,8906248.000000,0,0,32768.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,65536,3.661581,1144207040.000000,6.927025,2286741760.000000,17799634.000000,0,0,65536.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,131072,7.618394,2286883120.000000,14.508383,4571930240.000000,35587133.000000,0,0,131072.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,262144,14.390459,4572144080.000000,27.124512,9142304320.000000,71162108.000000,0,0,262144.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,524288,27.692225,9142685440.000000,56.388095,18283016720.000000,142311780.000000,0,0,524288.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,1048576,12.101871,1209528464.000000,17.413133,2417469808.000000,17837906.000000,0,0,1048576.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,2097152,16.406343,2417513728.000000,15.900534,2417498848.000000,16789557.000000,0,0,2097152.000000,627.001189
ofs,0,0,0,1,128,8388608,3,16,4194304,17.281133,2417495968.000000,16.874635,2417504128.000000,14692447.000000,0,0,4194304.000000,627.001189
