test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,128,8388608,24,1,0,0,0,0,0,0,1324.351657,88449468304.000000,0,1641.421328
ofs,0,0,0,1,128,8388608,24,1,1,20.108352,987568.000000,32.204941,1372912.000000,10724.000000,0,0,1.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,2,16.546267,1137632.000000,14.309941,1380480.000000,10783.000000,0,0,2.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,4,13.979447,1197264.000000,16.451822,1443952.000000,11276.000000,0,0,4.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,8,12.910230,1261328.000000,20.131249,1545536.000000,12066.000000,0,0,8.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,16,9.560409,1384432.000000,10.256467,1682688.000000,13130.000000,0,0,16.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,32,0.807687,1538560.000000,1.185474,2022528.000000,15769.000000,0,0,32.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,64,0.124097,1865680.000000,1.923471,2951168.000000,22992.000000,0,0,64.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,128,0.094597,2421760.000000,4.344899,3908544.000000,30407.000000,0,0,128.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,256,0.089740,3473440.000000,0.141928,5935712.000000,46116.000000,0,0,256.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,512,0.095189,5458128.000000,0.114894,11306336.000000,87818.000000,0,0,512.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,1024,0.113014,9150832.000000,0.140715,19720032.000000,153038.000000,0,0,1024.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,2048,0.135912,15941936.000000,0.193860,31780688.000000,246238.000000,0,0,2048.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,4096,0.177589,28545088.000000,0.273919,60092352.000000,465375.000000,0,0,4096.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,8192,0.251118,51626928.000000,0.397879,114630928.000000,887362.000000,0,0,8192.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,16384,0.390270,93572528.000000,0.810649,194303568.000000,1501612.000000,0,0,16384.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,32768,0.634233,169059232.000000,1.184678,404042592.000000,3123814.000000,0,0,32768.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,65536,1.148374,303291760.000000,2.267384,773131936.000000,5974557.000000,0,0,65536.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,131072,2.025381,538178064.000000,4.517090,1276451040.000000,9841201.000000,0,0,131072.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,262144,3.354122,940837616.000000,7.440885,2283081232.000000,17574428.000000,0,0,262144.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,524288,10.509279,1209292656.000000,15.350212,2417288960.000000,18360782.000000,0,0,524288.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,1048576,14.842242,2417242448.000000,15.180715,2417304464.000000,17836615.000000,0,0,1048576.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,2097152,14.719687,2417247616.000000,14.881567,2417297936.000000,16787988.000000,0,0,2097152.000000,1641.421328
ofs,0,0,0,1,128,8388608,24,1,4194304,15.210271,2417258224.000000,15.496384,2417292496.000000,14690793.000000,0,0,4194304.000000,1641.421328
